SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_ZONA,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
RS,88790,SÃO LOURENÇO DO SUL,80,1,35961,35902,SÃO LOURENÇO DO SUL,Presidente,27270,27270,0.759567712105175,SÃO LOURENÇO DO SUL,0.0865938099607909,0.59189121548344
AM,2550,MANAUS,65,1,121530,121745,MANAUS,Presidente,98838,98838,0.81184442892932,MANAUS,0.0669958035053073,0.269349131901588
PE,26310,ABREU E LIMA,119,1,84193,84026,ABREU E LIMA,Presidente,65606,65606,0.780782138861781,ABREU E LIMA,0.0562992172745953,0.435249961398216
CE,13552,CANINDÉ,33,1,57656,57587,CANINDÉ,Presidente,45349,45349,0.787486759164395,CANINDÉ,0.0506625502983211,0.550940058276676
BA,34290,CANDEIAS,127,2,66298,66163,CANDEIAS,Presidente,50504,50504,0.763326934993879,CANDEIAS,0.0456273190744819,0.360387945337718
PE,25313,RECIFE,150,2,109295,109177,RECIFE,Presidente,89548,89548,0.820209384760527,RECIFE,0.118706253717004,0.301788736904707
PR,76775,MANDAGUARI,60,2,28100,28078,MANDAGUARI,Presidente,22102,22102,0.787164327943586,MANDAGUARI,0.145160142348754,0.393523131672598
SP,71072,SÃO PAULO,246,1,120368,120517,SÃO PAULO,Presidente,89576,89576,0.743264435722761,SÃO PAULO,0.36248006114582,0.155149209092118
SP,69310,PRESIDENTE VENCESLAU,102,2,29020,28919,PRESIDENTE VENCESLAU,Presidente,20673,20673,0.714858743386701,PRESIDENTE VENCESLAU,0.164369400413508,0.366747070985527
SP,62138,BARUERI,199,1,149988,150024,BARUERI,Presidente,114365,114365,0.762311363515171,BARUERI,0.0773528548950583,0.349147931834547
SE,31330,CRISTINÁPOLIS,30,1,14085,14080,CRISTINÁPOLIS,Presidente,10271,10271,0.729474431818182,CRISTINÁPOLIS,0.0313099041533546,0.633652822151225
CE,13897,FORTALEZA,112,1,117938,118180,FORTALEZA,Presidente,96198,96198,0.813995599932307,FORTALEZA,0.266029608777493,0.25856806118469
BA,38490,SALVADOR,16,2,103952,103958,SALVADOR,Presidente,80386,80386,0.773254583581831,SALVADOR,0.11857395721102,0.299609435123903
PI,12602,RIBEIRA DO PIAUÍ,72,2,3507,3499,RIBEIRA DO PIAUÍ,Presidente,2702,2702,0.772220634466991,RIBEIRA DO PIAUÍ,0.0610208155118335,0.595950955232392
SC,81051,FLORIANÓPOLIS,12,1,130885,131354,FLORIANÓPOLIS,Presidente,105895,105895,0.806180245748131,FLORIANÓPOLIS,0.386568361538755,0.143820911487183
MS,98035,COSTA RICA,38,1,22565,22516,COSTA RICA,Presidente,15602,15602,0.6929294723752,COSTA RICA,0.0962995789940173,0.477066253046754
SP,67890,OSASCO,332,2,75676,75705,OSASCO,Presidente,57024,57024,0.753239548246483,OSASCO,0.187139912257519,0.255827475025107
SP,70718,SANTOS,273,2,123366,123814,SANTOS,Presidente,91506,91506,0.739060203208038,SANTOS,0.316740430912893,0.154556360747694
PE,26050,TIMBAÚBA,36,1,42475,42384,TIMBAÚBA,Presidente,32010,32010,0.755237825594564,TIMBAÚBA,0.0527604473219541,0.516868746321365
RJ,58777,PETRÓPOLIS,29,2,139449,139326,PETRÓPOLIS,Presidente,99812,99812,0.716391771815742,PETRÓPOLIS,0.0967665598175677,0.431125357657638
PR,77372,PALMITAL,134,1,10882,10869,PALMITAL,Presidente,8278,8278,0.761615604011409,PALMITAL,0.0431905899650799,0.581418856827789
SP,66397,LIMEIRA,66,1,116922,117167,LIMEIRA,Presidente,87709,87709,0.748581085117823,LIMEIRA,0.190169514719215,0.325909580746138
GO,92215,ANÁPOLIS,141,2,96081,96342,ANÁPOLIS,Presidente,73205,73205,0.759845135039754,ANÁPOLIS,0.146272415982348,0.306543437308105
RN,16179,ANTÔNIO MARTINS,38,2,5669,5653,ANTÔNIO MARTINS,Presidente,4513,4513,0.798337166106492,ANTÔNIO MARTINS,0.0571529370259305,0.623566766625507
AM,2534,MANACAPURU,6,2,72802,72669,MANACAPURU,Presidente,52053,52053,0.716302687528382,MANACAPURU,0.0411389796983599,0.43237823136727
RJ,58475,MACAÉ,109,2,91414,92315,MACAÉ,Presidente,68050,68050,0.73714997562693,MACAÉ,0.13108495416457,0.339805719036471
SP,62677,CABRÁLIA PAULISTA,159,1,3400,3392,CABRÁLIA PAULISTA,Presidente,2540,2540,0.748820754716981,CABRÁLIA PAULISTA,0.07,0.457352941176471
MG,50911,RIBEIRÃO DAS NEVES,286,2,120338,120427,RIBEIRÃO DAS NEVES,Presidente,91771,91771,0.762046717098325,RIBEIRÃO DAS NEVES,0.0602968305938274,0.433005368212867
PE,25313,RECIFE,5,2,113373,113903,RECIFE,Presidente,94123,94123,0.826343467687418,RECIFE,0.191385956091838,0.260017817293359
MS,91375,PORTO MURTINHO,20,1,8386,8337,PORTO MURTINHO,Presidente,5495,5495,0.659109991603694,PORTO MURTINHO,0.0776293823038397,0.525637968041975
SP,66818,MARÍLIA,400,2,93243,93300,MARÍLIA,Presidente,69325,69325,0.743033226152197,MARÍLIA,0.201173278423045,0.284353785270744
SP,71153,SÃO SEBASTIÃO,132,2,66581,66377,SÃO SEBASTIÃO,Presidente,48657,48657,0.733040059056601,SÃO SEBASTIÃO,0.127468797404665,0.333999188957811
PR,74659,CAFEARA,159,2,2181,2181,CAFEARA,Presidente,1819,1819,0.834021091242549,CAFEARA,0.0738193489225126,0.457588262265016
PE,25275,PRIMAVERA,31,2,11447,11428,PRIMAVERA,Presidente,8203,8203,0.717798389919496,PRIMAVERA,0.0397484056958155,0.599108936839347
AL,27855,MACEIÓ,2,1,162137,163738,MACEIÓ,Presidente,128797,128797,0.78660420916342,MACEIÓ,0.209304477078027,0.303434749625317
SP,71072,SÃO PAULO,352,1,209356,209315,SÃO PAULO,Presidente,155130,155130,0.741131787019564,SÃO PAULO,0.048864135730526,0.374496073673551
PR,76597,LARANJEIRAS DO SUL,45,1,24294,24223,LARANJEIRAS DO SUL,Presidente,19008,19008,0.784708747884242,LARANJEIRAS DO SUL,0.124557503910431,0.441960978019264
DF,97012,BRASÍLIA,18,1,127627,127956,BRASÍLIA,Presidente,102210,102210,0.79879020913439,BRASÍLIA,0.286600797636864,0.220972051368441
PR,78859,SÃO JOSÉ DOS PINHAIS,199,2,101367,101544,SÃO JOSÉ DOS PINHAIS,Presidente,79108,79108,0.779051445678721,SÃO JOSÉ DOS PINHAIS,0.0902167372024426,0.331172866909349
SP,71072,SÃO PAULO,251,1,115917,116580,SÃO PAULO,Presidente,87916,87916,0.75412592211357,SÃO PAULO,0.49332712199246,0.100244140203766
CE,13897,FORTALEZA,85,1,97993,98037,FORTALEZA,Presidente,79920,79920,0.815202423574773,FORTALEZA,0.0833630973640974,0.352443541885645
ES,56979,SÃO MATEUS,21,1,88485,88221,SÃO MATEUS,Presidente,64280,64280,0.728624703868693,SÃO MATEUS,0.0547098378256202,0.457433463298864
BA,38733,SANTO ANTÔNIO DE JESUS,202,1,37645,37558,SANTO ANTÔNIO DE JESUS,Presidente,28939,28939,0.770514936897598,SANTO ANTÔNIO DE JESUS,0.0572984460087661,0.411741267100545
BA,39535,URUÇUCA,198,1,18752,18709,URUÇUCA,Presidente,13175,13175,0.7042065316158,URUÇUCA,0.0599936006825939,0.577645051194539
SC,82953,RIO NEGRINHO,74,2,32189,32155,RIO NEGRINHO,Presidente,24785,24785,0.770797698647178,RIO NEGRINHO,0.0804312032060642,0.473018733107583
MG,40371,ALPINÓPOLIS,10,2,15797,15776,ALPINÓPOLIS,Presidente,12331,12331,0.781630324543611,ALPINÓPOLIS,0.0449452427676141,0.535228207887574
RJ,58491,MAGÉ,110,2,96370,96360,MAGÉ,Presidente,72713,72713,0.754597343295973,MAGÉ,0.0536370239701152,0.447628930164989
MG,54011,UBERABA,347,2,81456,81652,UBERABA,Presidente,63184,63184,0.77382060451673,UBERABA,0.135250933019053,0.373023472795129
PE,25496,SANTA CRUZ DO CAPIBARIBE,109,2,61813,61800,SANTA CRUZ DO CAPIBARIBE,Presidente,51094,51094,0.826763754045308,SANTA CRUZ DO CAPIBARIBE,0.0422726610907091,0.541665992590555
PA,4715,ITAITUBA,34,1,87719,87599,ITAITUBA,Presidente,58949,58949,0.672941471934611,ITAITUBA,0.0657326234909199,0.557473295409205
CE,13897,FORTALEZA,83,2,113541,113543,FORTALEZA,Presidente,92989,92989,0.81897607073972,FORTALEZA,0.103610149637576,0.341603473635075
SC,81957,LONTRAS,102,2,8999,8996,LONTRAS,Presidente,7319,7319,0.813583815028902,LONTRAS,0.0817868652072453,0.521724636070675
PR,79359,UMUARAMA,89,2,81501,81354,UMUARAMA,Presidente,63870,63870,0.785087395825651,UMUARAMA,0.167175862872848,0.350498766886296
ES,56251,CARIACICA,54,2,132884,132995,CARIACICA,Presidente,100866,100866,0.758419489454491,CARIACICA,0.0216805634989916,0.475753288582523
SP,67130,MOGI DAS CRUZES,74,1,98090,98031,MOGI DAS CRUZES,Presidente,73462,73462,0.749375197641562,MOGI DAS CRUZES,0.224854725252319,0.230349678866347
PE,23140,DORMENTES,107,1,16349,16310,DORMENTES,Presidente,12316,12316,0.755119558553035,DORMENTES,0.0442228882500459,0.575019878891675
SP,65633,ITAQUAQUECETUBA,377,1,107350,107389,ITAQUAQUECETUBA,Presidente,78417,78417,0.730214453994357,ITAQUAQUECETUBA,0.0587424312994877,0.393889147647881
SP,69698,RIBEIRÃO PRETO,305,2,121744,122283,RIBEIRÃO PRETO,Presidente,94696,94696,0.774400366363272,RIBEIRÃO PRETO,0.286626034958602,0.171162439216717
PE,23337,BELO JARDIM,45,1,62321,62290,BELO JARDIM,Presidente,45811,45811,0.735447102263606,BELO JARDIM,0.0721907543203735,0.555238202211133
MA,8958,SANTA HELENA,83,1,23160,23069,SANTA HELENA,Presidente,16489,16489,0.714768737266462,SANTA HELENA,0.0434369602763385,0.53639896373057
SC,80683,BALNEÁRIO BARRA DO SUL,27,2,10852,10843,BALNEÁRIO BARRA DO SUL,Presidente,8112,8112,0.748132435672784,BALNEÁRIO BARRA DO SUL,0.106984887578327,0.451345374124585
SP,71455,SOROCABA,271,2,95028,95225,SOROCABA,Presidente,73647,73647,0.773399842478341,SOROCABA,0.20990655385781,0.222323946626258
AL,28096,MURICI,9,2,20081,20069,MURICI,Presidente,13029,13029,0.6492102247247,MURICI,0.0244509735570938,0.650764404163139
BA,37036,MAIRI,86,2,14607,14555,MAIRI,Presidente,10063,10063,0.691377533493645,MAIRI,0.0506606421578695,0.638734853152598
