SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
CE,14591,MARTINÓPOLE,1,8767,8766,MARTINÓPOLE,Presidente,7503,,0.855822972510551,MARTINÓPOLE,0.0691228470400365,0.556404699441086
MG,43273,CLARAVAL,1,4626,4628,CLARAVAL,Presidente,3460,,0.747946389969736,CLARAVAL,0.0300475572849114,0.556204063986165
PI,12300,RIACHO FRIO,2,3690,3691,RIACHO FRIO,Presidente,2901,,0.786178861788618,RIACHO FRIO,0.0639566395663957,0.651490514905149
PR,78433,SANTA CRUZ DE MONTE CASTELO,2,6181,6185,SANTA CRUZ DE MONTE CASTELO,Presidente,5100,,0.825109205630157,SANTA CRUZ DE MONTE CASTELO,0.108234913444426,0.48487299789678
PR,77550,PAULO FRONTIN,1,5400,5403,PAULO FRONTIN,Presidente,4335,,0.802777777777778,PAULO FRONTIN,0.0718518518518519,0.550925925925926
SC,83917,MARACAJÁ,2,6144,6140,MARACAJÁ,Presidente,4841,,0.787923177083333,MARACAJÁ,0.0528971354166667,0.528645833333333
RS,88366,FAZENDA VILANOVA,1,3192,3191,FAZENDA VILANOVA,Presidente,2544,,0.796992481203008,FAZENDA VILANOVA,0.0354010025062657,0.620614035087719
AM,98370,ITAMARATI,1,6789,6308,ITAMARATI,Presidente,4284,,0.631020768890853,ITAMARATI,0.0269553689792311,0.691265282073943
PB,22136,SERRA DA RAIZ,1,2604,2604,SERRA DA RAIZ,Presidente,1904,,0.731182795698925,SERRA DA RAIZ,0.0426267281105991,0.552227342549923
BA,38377,RIO DO ANTÔNIO,1,11229,11224,RIO DO ANTÔNIO,Presidente,7088,,0.631222726867931,RIO DO ANTÔNIO,0.00819307151126547,0.772196989936771
TO,94056,ITACAJÁ,1,5416,5420,ITACAJÁ,Presidente,4084,,0.754062038404727,ITACAJÁ,0.0742245199409158,0.537296898079764
BA,39837,PINTADAS,1,7919,7919,PINTADAS,Presidente,5670,,0.715999494885718,PINTADAS,0.0363682283116555,0.648819295365577
MG,44075,CRISTIANO OTONI,2,4352,4356,CRISTIANO OTONI,Presidente,2870,,0.659466911764706,CRISTIANO OTONI,0.0190716911764706,0.624310661764706
RS,88293,ROQUE GONZALES,2,5203,5196,ROQUE GONZALES,Presidente,4261,,0.81895060541995,ROQUE GONZALES,0.100711128195272,0.580049971170479
AM,2933,ANAMÃ,2,7452,7457,ANAMÃ,Presidente,5848,,0.784755770263017,ANAMÃ,0.0365002683843264,0.560923242082662
SP,70637,SANTO ANTÔNIO DO JARDIM,2,5398,5402,SANTO ANTÔNIO DO JARDIM,Presidente,3728,,0.690626157836236,SANTO ANTÔNIO DO JARDIM,0.0437198962578733,0.559466469062616
PB,19780,BARRA DE SANTANA,2,7036,7037,BARRA DE SANTANA,Presidente,5437,,0.772740193291643,BARRA DE SANTANA,0.0331154064809551,0.662308129619102
MG,42480,VARGEM GRANDE DO RIO PARDO,2,4036,4023,VARGEM GRANDE DO RIO PARDO,Presidente,2581,,0.639494549058474,VARGEM GRANDE DO RIO PARDO,0.0222993062438057,0.612735381565907
PR,76937,MARIÓPOLIS,2,4958,4956,MARIÓPOLIS,Presidente,4120,,0.830980233965309,MARIÓPOLIS,0.107503025413473,0.532472771278741
PR,74861,SÃO PEDRO DO IGUAÇU,1,5017,5014,SÃO PEDRO DO IGUAÇU,Presidente,3848,,0.766992226430138,SÃO PEDRO DO IGUAÇU,0.0639824596372334,0.57923061590592
SP,63258,CATIGUÁ,2,5769,5767,CATIGUÁ,Presidente,4068,,0.705148205928237,CATIGUÁ,0.0511353787484833,0.494193101057376
PR,75191,CONSELHEIRO MAIRINCK,2,2806,2805,CONSELHEIRO MAIRINCK,Presidente,2164,,0.771204561653599,CONSELHEIRO MAIRINCK,0.101568068424804,0.496792587312901
MA,8400,SÃO PEDRO DOS CRENTES,1,3890,3889,SÃO PEDRO DOS CRENTES,Presidente,2947,,0.757583547557841,SÃO PEDRO DOS CRENTES,0.00848329048843188,0.76426735218509
RS,84832,SÃO DOMINGOS DO SUL,2,2601,2601,SÃO DOMINGOS DO SUL,Presidente,2005,,0.770857362552864,SÃO DOMINGOS DO SUL,0.113033448673587,0.490580545943868
PR,79499,XAMBRÊ,2,5004,5003,XAMBRÊ,Presidente,4048,,0.808952837729816,XAMBRÊ,0.0767386091127098,0.553756994404477
PR,74616,BOM SUCESSO,1,4904,4903,BOM SUCESSO,Presidente,3816,,0.778140293637847,BOM SUCESSO,0.0766721044045677,0.521818923327896
SC,83291,SÃO JOSÉ DO CEDRO,2,11423,11410,SÃO JOSÉ DO CEDRO,Presidente,8686,,0.760395692900289,SÃO JOSÉ DO CEDRO,0.0849163967434124,0.570252998336689
MG,47074,JECEABA,1,5809,5801,JECEABA,Presidente,3886,,0.66896195558616,JECEABA,0.023239800309864,0.644861421931486
PR,79030,SERTANEJA,2,4575,4299,SERTANEJA,Presidente,3707,,0.810273224043716,SERTANEJA,0.156502732240437,0.440655737704918
SC,80667,CALMON,1,3180,3175,CALMON,Presidente,2204,,0.693081761006289,CALMON,0.0283018867924528,0.707547169811321
AL,28053,MINADOR DO NEGRÃO,1,4605,4606,MINADOR DO NEGRÃO,Presidente,3272,,0.710532030401737,MINADOR DO NEGRÃO,0.0301845819761129,0.709663409337677
RS,87424,PONTÃO,2,3086,3082,PONTÃO,Presidente,2593,,0.840246273493195,PONTÃO,0.0605962410887881,0.558327932598833
MT,90620,MATUPÁ,2,11482,11493,MATUPÁ,Presidente,7823,,0.68132729489636,MATUPÁ,0.0372757359345062,0.573767636300296
RN,17671,OLHO D'ÁGUA DO BORGES,2,4012,4011,OLHO D ÁGUA DO BORGES,Presidente,3059,,0.76246261216351,OLHO D'ÁGUA DO BORGES,0.0897308075772682,0.599202392821535
MG,44539,DOM SILVÉRIO,1,4571,4571,DOM SILVÉRIO,Presidente,3047,,0.666593743163422,DOM SILVÉRIO,0.033471887989499,0.590461605775541
MG,42323,JOSÉ RAYDAN,1,4308,4302,JOSÉ RAYDAN,Presidente,2489,,0.577762302692665,JOSÉ RAYDAN,0.0199628597957289,0.670380687093779
PR,78557,SANTANA DO ITARARÉ,2,4238,4237,SANTANA DO ITARARÉ,Presidente,3279,,0.773714016045305,SANTANA DO ITARARÉ,0.0613496932515337,0.605474280320906
SC,82635,PONTE SERRADA,1,7605,7599,PONTE SERRADA,Presidente,6118,,0.804470742932281,PONTE SERRADA,0.105851413543721,0.543984220907298
RN,18651,SERRA NEGRA DO NORTE,2,5989,5986,SERRA NEGRA DO NORTE,Presidente,4500,,0.75137752546335,SERRA NEGRA DO NORTE,0.0596092836867591,0.607446986141259
GO,92347,MIMOSO DE GOIÁS,1,2466,2466,MIMOSO DE GOIÁS,Presidente,1977,,0.801703163017032,MIMOSO DE GOIÁS,0.0746147607461476,0.54014598540146
RS,87408,PINHEIRINHO DO VALE,2,3237,3042,PINHEIRINHO DO VALE,Presidente,2660,,0.821748532591906,PINHEIRINHO DO VALE,0.0790855730614767,0.625888168056843
SP,70394,SANTA LÚCIA,2,7656,7655,SANTA LÚCIA,Presidente,4791,,0.625783699059561,SANTA LÚCIA,0.0227272727272727,0.508881922675026
MG,42072,CAMACHO,2,3418,3416,CAMACHO,Presidente,2153,,0.629900526623757,CAMACHO,0.0184318314803979,0.637799882972499
SP,64793,GUZOLÂNDIA,1,3350,3347,GUZOLÂNDIA,Presidente,2421,,0.722686567164179,GUZOLÂNDIA,0.0707462686567164,0.537910447761194
RS,85421,POUSO NOVO,2,1527,1527,POUSO NOVO,Presidente,1207,,0.790438768827767,POUSO NOVO,0.0720366732154551,0.661427635887361
MA,8524,SERRANO DO MARANHÃO,1,8281,8279,SERRANO DO MARANHÃO,Presidente,5232,,0.631807752686874,SERRANO DO MARANHÃO,0.00386426760053134,0.766453326892887
SP,68373,PEDRA BELA,2,5081,5078,PEDRA BELA,Presidente,3374,,0.66404251131667,PEDRA BELA,0.0403463885061996,0.618972643180476
SP,64335,GÁLIA,2,5488,5482,GÁLIA,Presidente,3478,,0.633746355685131,GÁLIA,0.0612244897959184,0.537172011661808
RS,89443,SANTA MARGARIDA DO SUL,2,2531,2338,SANTA MARGARIDA DO SUL,Presidente,1866,,0.737258000790202,SANTA MARGARIDA DO SUL,0.0790201501382853,0.613196365073094
SP,71994,TRÊS FRONTEIRAS,1,5073,5065,TRÊS FRONTEIRAS,Presidente,3369,,0.664104080425784,TRÊS FRONTEIRAS,0.0774689532820816,0.515474078454563
MG,40223,FRANCISCÓPOLIS,1,5029,5027,FRANCISCÓPOLIS,Presidente,2907,,0.57804732551203,FRANCISCÓPOLIS,0.014316961622589,0.723801948697554
TO,73342,MURICILÂNDIA,2,2165,2165,MURICILÂNDIA,Presidente,1607,,0.742263279445727,MURICILÂNDIA,0.0572748267898383,0.590300230946882
MS,90395,BATAYPORÃ,1,8544,8539,BATAYPORÃ,Presidente,5775,,0.675912921348315,BATAYPORÃ,0.0256320224719101,0.656132958801498
BA,35831,IPUPIARA,1,7804,7808,IPUPIARA,Presidente,5456,,0.699128651973347,IPUPIARA,0.00666324961558175,0.728856996412096
BA,35831,IPUPIARA,2,7804,7808,IPUPIARA,Presidente,5570,,0.713736545361353,IPUPIARA,0.00666324961558175,0.728856996412096
RS,89524,WESTFALIA,2,2549,2548,WESTFALIA,Presidente,2043,,0.801490780698313,WESTFALIA,0.0647312671635936,0.57395056885053
MG,48232,MATUTINA,1,3440,3436,MATUTINA,Presidente,2206,,0.641279069767442,MATUTINA,0.0433139534883721,0.643023255813954
MG,51756,SANTANA DO JACARÉ,2,3956,3951,SANTANA DO JACARÉ,Presidente,2506,,0.633468149646107,SANTANA DO JACARÉ,0.0273003033367037,0.644084934277048
MG,52230,SÃO FRANCISCO DE PAULA,1,5861,5859,SÃO FRANCISCO DE PAULA,Presidente,4187,,0.714383211056134,SÃO FRANCISCO DE PAULA,0.0185975089575158,0.656543252004777
MG,50750,QUELUZITO,2,2425,2424,QUELUZITO,Presidente,1628,,0.671340206185567,QUELUZITO,0.0416494845360825,0.617319587628866
BA,36870,LENÇÓIS,2,7602,7600,LENÇÓIS,Presidente,5070,,0.666929755327545,LENÇÓIS,0.0524861878453039,0.589976322020521
PB,20710,LIVRAMENTO,1,5567,5564,LIVRAMENTO,Presidente,3977,,0.714388359978444,LIVRAMENTO,0.0560445482306449,0.65205676306808
MT,98710,MARCELÂNDIA,2,9054,7560,MARCELÂNDIA,Presidente,5766,,0.636845593108019,MARCELÂNDIA,0.0268389662027833,0.645791915175613
RN,16306,JUNDIÁ,1,3737,3732,JUNDIÁ,Presidente,2717,,0.727053786459727,JUNDIÁ,0.044955846936045,0.610650254214611
GO,95133,PALMELO,2,2106,2104,PALMELO,Presidente,1490,,0.707502374169041,PALMELO,0.124881291547958,0.433998100664767
GO,92312,ARAÇU,1,3739,3739,ARAÇU,Presidente,2934,,0.784701791922974,ARAÇU,0.0954800748863332,0.50601765177855
SP,61506,CAMPINA DO MONTE ALEGRE,2,4725,4724,CAMPINA DO MONTE ALEGRE,Presidente,3246,,0.686984126984127,CAMPINA DO MONTE ALEGRE,0.0471957671957672,0.534814814814815
SP,61212,ALTO ALEGRE,1,3732,3729,ALTO ALEGRE,Presidente,2519,,0.67497320471597,ALTO ALEGRE,0.0664523043944266,0.568327974276527
BA,39756,MAETINGA,2,6790,6789,MAETINGA,Presidente,3840,,0.565537555228277,MAETINGA,0.00883652430044183,0.829013254786451
PR,75582,QUARTO CENTENÁRIO,1,3834,3834,QUARTO CENTENÁRIO,Presidente,2873,,0.749347939488785,QUARTO CENTENÁRIO,0.0164319248826291,0.613719353155973
RS,87483,PORTO VERA CRUZ,1,1632,1630,PORTO VERA CRUZ,Presidente,1297,,0.794730392156863,PORTO VERA CRUZ,0.048406862745098,0.634191176470588
MG,53333,SERRA DOS AIMORÉS,2,5591,5588,SERRA DOS AIMORÉS,Presidente,3274,,0.585583974244321,SERRA DOS AIMORÉS,0.0248613843677339,0.610803076372742
MS,55042,NOVO HORIZONTE DO SUL,2,3897,3886,NOVO HORIZONTE DO SUL,Presidente,2565,,0.658198614318707,NOVO HORIZONTE DO SUL,0.0392609699769053,0.670002566076469
PI,11770,RIBEIRO GONÇALVES,2,4882,4877,RIBEIRO GONÇALVES,Presidente,3485,,0.713846784104875,RIBEIRO GONÇALVES,0.0661614092585006,0.608971732896354
RN,18198,RUY BARBOSA,2,3743,3743,RUY BARBOSA,Presidente,2498,,0.667379107667646,RUY BARBOSA,0.0309911835426129,0.574672722415175
PI,12378,FRANCISCO MACEDO,2,2440,2439,FRANCISCO MACEDO,Presidente,1971,,0.807786885245902,FRANCISCO MACEDO,0.0614754098360656,0.680737704918033
PR,74608,NOVA SANTA BÁRBARA,1,3315,3315,NOVA SANTA BÁRBARA,Presidente,2574,,0.776470588235294,NOVA SANTA BÁRBARA,0.0871794871794872,0.531523378582202
RS,87467,PORTO MAUÁ,1,2172,2169,PORTO MAUÁ,Presidente,1750,,0.805709023941068,PORTO MAUÁ,0.0598526703499079,0.637200736648251
PR,77038,MIRADOR,2,2123,2122,MIRADOR,Presidente,1471,,0.692887423457372,MIRADOR,0.0202543570419218,0.607630711257654
RS,85421,POUSO NOVO,1,1527,1527,POUSO NOVO,Presidente,1260,,0.825147347740668,POUSO NOVO,0.0720366732154551,0.661427635887361
PB,21717,SANTANA DE MANGUEIRA,2,4120,4116,SANTANA DE MANGUEIRA,Presidente,3121,,0.75752427184466,SANTANA DE MANGUEIRA,0.0400485436893204,0.722087378640777
TO,73580,BANDEIRANTES DO TOCANTINS,1,2359,2359,BANDEIRANTES DO TOCANTINS,Presidente,1816,,0.769817719372616,BANDEIRANTES DO TOCANTINS,0.0771513353115727,0.528613819415006
MT,89960,RONDOLÂNDIA,2,2465,2466,RONDOLÂNDIA,Presidente,1504,,0.610141987829615,RONDOLÂNDIA,0.0267748478701826,0.685598377281947
MA,7145,BACURITUBA,2,4985,4979,BACURITUBA,Presidente,3066,,0.615045135406219,BACURITUBA,0.0286860581745236,0.575727181544634
PR,76198,ITAÚNA DO SUL,2,3078,3076,ITAÚNA DO SUL,Presidente,2010,,0.653021442495127,ITAÚNA DO SUL,0.0539311241065627,0.576998050682261
GO,92835,CACHOEIRA DE GOIÁS,2,1732,1732,CACHOEIRA DE GOIÁS,Presidente,1169,,0.674942263279446,CACHOEIRA DE GOIÁS,0.098729792147806,0.479214780600462
AL,28576,SANTA LUZIA DO NORTE,2,5783,4641,SANTA LUZIA DO NORTE,Presidente,4221,,0.729897976828636,SANTA LUZIA DO NORTE,0.0427113954694795,0.585509251253675
PR,78638,SANTO ANTÔNIO DO PARAÍSO,1,2026,2026,SANTO ANTÔNIO DO PARAÍSO,Presidente,1664,,0.821322803553801,SANTO ANTÔNIO DO PARAÍSO,0.114017769002962,0.456564659427443
PR,79596,GRANDES RIOS,2,5190,5189,GRANDES RIOS,Presidente,3560,,0.685934489402698,GRANDES RIOS,0.0196531791907514,0.650481695568401
MG,41360,PINGO D'ÁGUA,1,4155,4153,PINGO D ÁGUA,Presidente,2734,,0.658002406738869,PINGO D'ÁGUA,0.0168471720818291,0.653188929001203
MG,51853,SANTA RITA DE JACUTINGA,2,4147,4146,SANTA RITA DE JACUTINGA,Presidente,3008,,0.725343621895346,SANTA RITA DE JACUTINGA,0.0979020979020979,0.553653243308416
MG,42005,CURRAL DE DENTRO,1,6072,6069,CURRAL DE DENTRO,Presidente,3801,,0.62598814229249,CURRAL DE DENTRO,0.016304347826087,0.70602766798419
SP,61735,ARIRANHA,2,7256,7253,ARIRANHA,Presidente,4875,,0.671857772877619,ARIRANHA,0.055678059536935,0.548925027563396
SP,66834,MARINÓPOLIS,1,1866,1859,MARINÓPOLIS,Presidente,1292,,0.692390139335477,MARINÓPOLIS,0.0728831725616292,0.504823151125402
SC,82430,PEDRAS GRANDES,1,3917,3916,PEDRAS GRANDES,Presidente,3122,,0.797038549910646,PEDRAS GRANDES,0.0352310441664539,0.634924687260659
GO,94790,MUTUNÓPOLIS,2,3252,3249,MUTUNÓPOLIS,Presidente,2345,,0.721094710947109,MUTUNÓPOLIS,0.030750307503075,0.646986469864699
SP,67733,NUPORANGA,1,5822,5818,NUPORANGA,Presidente,4053,,0.696152524905531,NUPORANGA,0.0929233940226726,0.461353486774304
GO,92762,TERESINA DE GOIÁS,1,2295,2293,TERESINA DE GOIÁS,Presidente,1653,,0.720261437908497,TERESINA DE GOIÁS,0.0779956427015251,0.502832244008715
MG,50253,PIRAÚBA,1,9528,9524,PIRAÚBA,Presidente,6810,,0.714735516372796,PIRAÚBA,0.0293870696893367,0.657010915197313
RS,85928,ENTRE RIOS DO SUL,2,2670,2037,ENTRE RIOS DO SUL,Presidente,1924,,0.72059925093633,ENTRE RIOS DO SUL,0.0573033707865169,0.5812734082397
MG,54119,VARGEM BONITA,1,2321,2321,VARGEM BONITA,Presidente,1554,,0.669538991813873,VARGEM BONITA,0.03877638948729,0.62473071951745
SP,69710,RIVERSUL,1,4712,4707,RIVERSUL,Presidente,3135,,0.665322580645161,RIVERSUL,0.0598471986417657,0.573217317487267
RN,17850,PATU,1,8748,8737,PATU,Presidente,6998,,0.799954275262917,PATU,0.0828760859625057,0.550983081847279
SC,81086,MORRO GRANDE,1,2966,2968,MORRO GRANDE,Presidente,2411,,0.812879298718813,MORRO GRANDE,0.0266351989211059,0.612272420768712
PR,74730,CAMBIRA,1,5742,5741,CAMBIRA,Presidente,4482,,0.780564263322884,CAMBIRA,0.103622431208638,0.476314872866597
RS,88846,CHUÍ,1,3945,3936,CHUÍ,Presidente,2762,,0.700126742712294,CHUÍ,0.103168567807351,0.417490494296578
MG,44938,ESTRELA DO INDAIÁ,1,2959,2958,ESTRELA DO INDAIÁ,Presidente,1966,,0.664413653261237,ESTRELA DO INDAIÁ,0.0625211220006759,0.612369043595809
RO,620,CACAULÂNDIA,1,3933,3942,CACAULÂNDIA,Presidente,2870,,0.729722857869311,CACAULÂNDIA,0.0541571319603356,0.594457157386219
GO,93041,PROFESSOR JAMIL,1,2676,2676,PROFESSOR JAMIL,Presidente,2028,,0.757847533632287,PROFESSOR JAMIL,0.104260089686099,0.473841554559043
MG,51470,SANTA CRUZ DO ESCALVADO,2,4830,4830,SANTA CRUZ DO ESCALVADO,Presidente,3086,,0.638923395445135,SANTA CRUZ DO ESCALVADO,0.0236024844720497,0.707660455486542
SP,61212,ALTO ALEGRE,2,3732,3729,ALTO ALEGRE,Presidente,2508,,0.672025723472669,ALTO ALEGRE,0.0664523043944266,0.568327974276527
BA,37460,MUQUÉM DO SÃO FRANCISCO,2,8963,8962,MUQUÉM DO SÃO FRANCISCO,Presidente,6023,,0.671984826508981,MUQUÉM DO SÃO FRANCISCO,0.00580162891888877,0.748633270110454
RS,88781,VESPASIANO CORRÊA,2,2175,2174,VESPASIANO CORRÊA,Presidente,1716,,0.788965517241379,VESPASIANO CORRÊA,0.0708045977011494,0.586206896551724
RS,86304,AMETISTA DO SUL,2,5261,5257,AMETISTA DO SUL,Presidente,4097,,0.778749287207755,AMETISTA DO SUL,0.0809731990115948,0.606918836723057
RS,88897,SÃO PAULO DAS MISSÕES,2,5211,5208,SÃO PAULO DAS MISSÕES,Presidente,4168,,0.799846478602955,SÃO PAULO DAS MISSÕES,0.0516215697562848,0.631548647092689
SP,70319,SANTA ERNESTINA,1,5092,5091,SANTA ERNESTINA,Presidente,3576,,0.702278083267871,SANTA ERNESTINA,0.026904948939513,0.482521602513747
RS,87793,PALMITINHO,2,5633,5630,PALMITINHO,Presidente,4442,,0.788567370850346,PALMITINHO,0.126930587608734,0.54500266287946
MG,40487,NAQUE,2,5321,5321,NAQUE,Presidente,3244,,0.609659838376245,NAQUE,0.0169141138883668,0.639353504980267
SC,80144,UNIÃO DO OESTE,2,2512,2512,UNIÃO DO OESTE,Presidente,1975,,0.786226114649682,UNIÃO DO OESTE,0.0262738853503185,0.640525477707007
MG,41726,BERIZAL,1,3780,3770,BERIZAL,Presidente,2697,,0.713492063492064,BERIZAL,0.0248677248677249,0.668253968253968
SP,67253,MONTE ALEGRE DO SUL,2,6170,6170,MONTE ALEGRE DO SUL,Presidente,4213,,0.682820097244733,MONTE ALEGRE DO SUL,0.104376012965964,0.482333873581848
MG,52299,SÃO GERALDO,1,6659,6658,SÃO GERALDO,Presidente,4710,,0.707313410421985,SÃO GERALDO,0.024027631776543,0.678179906892927
MG,42226,IMBÉ DE MINAS,2,5984,5985,IMBÉ DE MINAS,Presidente,3625,,0.605782085561497,IMBÉ DE MINAS,0.0118649732620321,0.754010695187166
PB,19178,ARARA,1,8362,8360,ARARA,Presidente,5915,,0.707366658694092,ARARA,0.0397034202343937,0.712748146376465
PI,12408,JOCA MARQUES,2,4399,4399,JOCA MARQUES,Presidente,3260,,0.74107751761764,JOCA MARQUES,0.035235280745624,0.724710161400318
MG,53058,SÃO VICENTE DE MINAS,1,5756,5739,SÃO VICENTE DE MINAS,Presidente,3974,,0.69041000694927,SÃO VICENTE DE MINAS,0.0507296733842947,0.543259207783183
SC,81280,BOCAINA DO SUL,1,3045,3044,BOCAINA DO SUL,Presidente,2461,,0.808210180623974,BOCAINA DO SUL,0.0456486042692939,0.624302134646962
PR,74160,BOM SUCESSO DO SUL,2,2921,2921,BOM SUCESSO DO SUL,Presidente,2349,,0.804176651831565,BOM SUCESSO DO SUL,0.0920917494008901,0.524820267031838
MA,9318,SUCUPIRA DO NORTE,1,8432,8412,SUCUPIRA DO NORTE,Presidente,5716,,0.677893738140417,SUCUPIRA DO NORTE,0.0109108159392789,0.707661290322581
MG,51772,SANTANA DO MANHUAÇU,2,7090,7087,SANTANA DO MANHUAÇU,Presidente,4631,,0.653173483779972,SANTANA DO MANHUAÇU,0.0142454160789845,0.719605077574048
SP,62189,SANTA CRUZ DA ESPERANÇA,1,2116,2123,SANTA CRUZ DA ESPERANÇA,Presidente,1398,,0.660680529300567,SANTA CRUZ DA ESPERANÇA,0.0850661625708885,0.452741020793951
MG,48712,MORRO DA GARÇA,2,2650,2648,MORRO DA GARÇA,Presidente,1648,,0.62188679245283,MORRO DA GARÇA,0.0822641509433962,0.564905660377359
BA,34070,CAIRU,2,12534,12536,CAIRU,Presidente,8891,,0.709350566459231,CAIRU,0.0826551779160683,0.480931865326313
RN,18830,TIMBAÚBA DOS BATISTAS,1,2425,2424,TIMBAÚBA DOS BATISTAS,Presidente,1834,,0.756288659793814,TIMBAÚBA DOS BATISTAS,0.0585567010309278,0.545567010309278
PE,25879,SOLIDÃO,1,5090,5094,SOLIDÃO,Presidente,3710,,0.728880157170923,SOLIDÃO,0.0355599214145383,0.635559921414538
MT,90719,DOM AQUINO,1,6454,6456,DOM AQUINO,Presidente,4395,,0.680973039975209,DOM AQUINO,0.0373411837620081,0.565850635264952
SP,68675,PINHALZINHO,1,10626,10626,PINHALZINHO,Presidente,7004,,0.65913796348579,PINHALZINHO,0.0512892904197252,0.557971014492754
MG,42447,UNIÃO DE MINAS,1,2904,2903,UNIÃO DE MINAS,Presidente,2251,,0.775137741046832,UNIÃO DE MINAS,0.0743801652892562,0.629820936639118
GO,92916,CAMPESTRE DE GOIÁS,1,3604,3604,CAMPESTRE DE GOIÁS,Presidente,2578,,0.715316315205327,CAMPESTRE DE GOIÁS,0.0649278579356271,0.514150943396226
BA,34797,CORDEIROS,1,6985,6986,CORDEIROS,Presidente,4238,,0.6067287043665,CORDEIROS,0.0221904080171797,0.710808876163207
PB,19682,TENÓRIO,2,2588,2587,TENÓRIO,Presidente,1975,,0.763137557959815,TENÓRIO,0.0274343122102009,0.714451313755796
MG,46639,ITANHOMI,1,10028,10016,ITANHOMI,Presidente,6563,,0.65446749102513,ITANHOMI,0.0354008775428799,0.64160351017152
MG,48518,MONSENHOR PAULO,1,6696,6696,MONSENHOR PAULO,Presidente,4826,,0.720728793309439,MONSENHOR PAULO,0.0350955794504182,0.556451612903226
MG,42102,GAMELEIRAS,1,4333,4331,GAMELEIRAS,Presidente,3051,,0.704131087006693,GAMELEIRAS,0.0156935148857604,0.637433648742211
PB,20630,LAGOA,2,4431,3656,LAGOA,Presidente,3206,,0.723538704581359,LAGOA,0.0349808169713383,0.67501692620176
SE,31933,NOSSA SENHORA DE LOURDES,2,5532,5539,NOSSA SENHORA DE LOURDES,Presidente,4182,,0.755965292841649,NOSSA SENHORA DE LOURDES,0.0399493853940709,0.589298626174982
PE,24473,ITACURUBA,2,3895,3886,ITACURUBA,Presidente,3028,,0.777406931964057,ITACURUBA,0.0834403080872914,0.487291399229782
RS,88480,UNISTALDA,1,2541,2535,UNISTALDA,Presidente,1953,,0.768595041322314,UNISTALDA,0.0554899645808737,0.597796143250689
RS,87521,QUEVEDOS,2,2173,2172,QUEVEDOS,Presidente,1598,,0.735388863322596,QUEVEDOS,0.058444546709618,0.688909341923608
TO,96970,APARECIDA DO RIO NEGRO,2,3549,3547,APARECIDA DO RIO NEGRO,Presidente,2462,,0.693716539870386,APARECIDA DO RIO NEGRO,0.0707241476472246,0.501549732318963
RN,18910,VÁRZEA,2,4278,4278,VÁRZEA,Presidente,3478,,0.81299672744273,VÁRZEA,0.0621785881252922,0.55820476858345
PR,77437,PARANACITY,1,7495,7499,PARANACITY,Presidente,5621,,0.74996664442962,PARANACITY,0.0884589726484323,0.477918612408272
GO,92614,BALIZA,1,2334,2332,BALIZA,Presidente,1767,,0.75706940874036,BALIZA,0.0766923736075407,0.599400171379606
SE,31453,FREI PAULO,1,12053,12055,FREI PAULO,Presidente,8940,,0.741724052103211,FREI PAULO,0.030946652285738,0.685223595785282
MA,7226,CACHOEIRA GRANDE,1,7762,7758,CACHOEIRA GRANDE,Presidente,5170,,0.66606544704973,CACHOEIRA GRANDE,0.0145581035815511,0.69144550373615
MG,42560,VERMELHO NOVO,1,4718,4720,VERMELHO NOVO,Presidente,3319,,0.703476049173379,VERMELHO NOVO,0.00741839762611276,0.721492157693938
TO,93130,CONCEIÇÃO DO TOCANTINS,2,3185,3180,CONCEIÇÃO DO TOCANTINS,Presidente,1827,,0.573626373626374,CONCEIÇÃO DO TOCANTINS,0.0750392464678179,0.576766091051805
PR,74926,ALTO PARAÍSO,1,2732,2732,ALTO PARAÍSO,Presidente,2158,,0.789897510980966,ALTO PARAÍSO,0.0775988286969253,0.549414348462665
PR,78093,RENASCENÇA,1,4936,3644,RENASCENÇA,Presidente,4095,,0.829619124797407,RENASCENÇA,0.0978525121555916,0.545178282009725
RS,88218,RODEIO BONITO,1,4779,4778,RODEIO BONITO,Presidente,3902,,0.81648880518937,RODEIO BONITO,0.12575852688847,0.544674618120946
MG,40304,JAMPRUCA,2,4195,4190,JAMPRUCA,Presidente,2569,,0.612395709177592,JAMPRUCA,0.0176400476758045,0.680810488676996
PR,78514,SANTA IZABEL DO OESTE,1,8741,8741,SANTA IZABEL DO OESTE,Presidente,6584,,0.753231895664112,SANTA IZABEL DO OESTE,0.0259695686992335,0.587804599016131
MA,7447,CENTRO DO GUILHERME,2,6839,6837,CENTRO DO GUILHERME,Presidente,4908,,0.717648779061266,CENTRO DO GUILHERME,0.00380172539845007,0.833162743091095
MG,42048,DOM BOSCO,1,3401,3401,DOM BOSCO,Presidente,2274,,0.668626874448692,DOM BOSCO,0.0311673037341958,0.626874448691561
AM,98450,SÃO SEBASTIÃO DO UATUMÃ,1,6644,5393,SÃO SEBASTIÃO DO UATUMÃ,Presidente,4682,,0.70469596628537,SÃO SEBASTIÃO DO UATUMÃ,0.0413907284768212,0.487808549066827
