SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
SP,71315,SERRANA,2,32818,32808,SERRANA,Presidente,21907,,0.667530014016698,SERRANA,0.0426899872021452,0.493174477420928
PR,75213,CONTENDA,2,12146,12145,CONTENDA,Presidente,9763,,0.803803721389758,CONTENDA,0.0646303309731599,0.54923431582414
BA,34134,CAMAÇARI,2,165405,165476,CAMAÇARI,Presidente,129535,,0.783138357365255,CAMAÇARI,0.0785828723436414,0.339729754239594
AL,28851,UNIÃO DOS PALMARES,2,44402,44381,UNIÃO DOS PALMARES,Presidente,29871,,0.672739966668168,UNIÃO DOS PALMARES,0.0298860411693167,0.600761226971758
AP,6017,AMAPÁ,2,6081,6064,AMAPÁ,Presidente,4033,,0.663213287288275,AMAPÁ,0.0606808090774544,0.485282025982569
SP,68616,PINDAMONHANGABA,2,113051,113125,PINDAMONHANGABA,Presidente,76579,,0.677384543259237,PINDAMONHANGABA,0.0816799497571892,0.378254062325853
RS,85413,BENTO GONÇALVES,1,89380,84763,BENTO GONÇALVES,Presidente,70508,,0.788856567464757,BENTO GONÇALVES,0.092481539494294,0.438968449317521
MG,51110,RIO PARDO DE MINAS,2,21374,21338,RIO PARDO DE MINAS,Presidente,12241,,0.572705155796762,RIO PARDO DE MINAS,0.0327968559932628,0.633760643772808
TO,95591,PORTO NACIONAL,1,40317,40260,PORTO NACIONAL,Presidente,29801,,0.739167100726741,PORTO NACIONAL,0.142371704243867,0.347942555249647
RO,493,ITAPUÃ DO OESTE,2,6520,6512,ITAPUÃ DO OESTE,Presidente,4090,,0.627300613496933,ITAPUÃ DO OESTE,0.0526073619631902,0.588803680981595
SP,69159,PORTO FERREIRA,1,41391,41365,PORTO FERREIRA,Presidente,28656,,0.692324418351816,PORTO FERREIRA,0.0848252035466647,0.44420284602933
PE,24970,OURICURI,2,47525,47509,OURICURI,Presidente,32823,,0.690647027880063,OURICURI,0.0128563913729616,0.741693845344556
RJ,58424,SEROPÉDICA,2,55045,55023,SEROPÉDICA,Presidente,37953,,0.689490416931601,SEROPÉDICA,0.0321373421745844,0.537560178036152
MS,98035,COSTA RICA,2,20380,20370,COSTA RICA,Presidente,12955,,0.63567222767419,COSTA RICA,0.0657016683022571,0.546516192345437
GO,92355,ARAGOIÂNIA,1,7715,7709,ARAGOIÂNIA,Presidente,5675,,0.735580038885288,ARAGOIÂNIA,0.0474400518470512,0.539468567725211
SP,67717,NOVO HORIZONTE,1,29338,29315,NOVO HORIZONTE,Presidente,20318,,0.692548912672984,NOVO HORIZONTE,0.0747494716749608,0.495193946417615
GO,93793,GOIATUBA,1,24650,24645,GOIATUBA,Presidente,18080,,0.733468559837728,GOIATUBA,0.134442190669371,0.469168356997972
BA,39047,SERRA DO RAMALHO,2,23309,23307,SERRA DO RAMALHO,Presidente,15307,,0.656699129091767,SERRA DO RAMALHO,0.00767943712728989,0.716161139474023
MG,40797,ARAXÁ,1,76841,76775,ARAXÁ,Presidente,54187,,0.705183430720579,ARAXÁ,0.0654988873127627,0.464322432034981
RJ,58491,MAGÉ,1,181364,181349,MAGÉ,Presidente,124599,,0.68701065261022,MAGÉ,0.0174290377362652,0.57779934275821
RN,17299,LAGOA NOVA,2,11432,11432,LAGOA NOVA,Presidente,8381,,0.733117564730581,LAGOA NOVA,0.0527466759972008,0.636983904828551
MT,90670,CUIABÁ,2,440338,433480,CUIABÁ,Presidente,331758,,0.753416693539962,CUIABÁ,0.20287143058287,0.296102085216357
MS,98116,SELVÍRIA,2,6054,6052,SELVÍRIA,Presidente,3849,,0.635777998017839,SELVÍRIA,0.0287413280475719,0.648827221671622
MG,48810,MUZAMBINHO,2,17885,17881,MUZAMBINHO,Presidente,12048,,0.67363712608331,MUZAMBINHO,0.0782219737209953,0.521051160190103
PE,24570,JABOATÃO DOS GUARARAPES,1,452277,433897,JABOATÃO DOS GUARARAPES,Presidente,312729,,0.691454573192977,JABOATÃO DOS GUARARAPES,0.0347751488578902,0.52576186717432
RS,85308,ARROIO DO SAL,1,6825,6819,ARROIO DO SAL,Presidente,5239,,0.767619047619048,ARROIO DO SAL,0.0858608058608059,0.476043956043956
MG,45535,GOVERNADOR VALADARES,2,205896,205842,GOVERNADOR VALADARES,Presidente,132360,,0.642848816878424,GOVERNADOR VALADARES,0.0509480514434472,0.495512297470568
BA,38253,RIACHÃO DAS NEVES,1,18445,18435,RIACHÃO DAS NEVES,Presidente,12508,,0.678124152886961,RIACHÃO DAS NEVES,0.0158850637029005,0.71401463811331
